Indexed from docIDs:1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
curi 10 0
tangkap 14 40
basah 1 96
kepala 8 100
arca 1 132
sendang 1 136
bancolono 1 140
karanganyar 1 144
joglosemarnewscom 2 148
komplot 4 156
massa 2 172
hendak 3 180
desa 6 192
gondosuli 1 216
camat 6 220
tawangmangu 1 244
jawa 6 248
tengah 4 272
kamis 4 288
laku 19 304
diri 12 380
orang 17 428
sebut 15 496
kemudian 8 556
aman 8 588
mapolres 3 620
tiga 10 632
bekuk 1 672
ikut 2 676
barang 6 684
bukti 7 708
upa 4 736
patung 1 752
buah 5 756
palu 1 776
besar 5 780
slempang 1 800
warna 2 804
hitam 2 812
gar 1 820
satu 10 824
unit 3 864
mobil 4 876
jenis 6 892
honda 1 916
merah 1 920
nopol 2 924
ae 1 932
bx 1 936
aksi 11 940
hasil 9 984
warga 11 1020
masingmasing 5 1064
ab 1 1084
magetan 1 1088
kerja 4 1092
tugas 12 1108
satpam 1 1156
salah 10 1160
usaha 3 1200
tambang 1 1212
batu 1 1216
bara 1 1220
kalimantan 1 1224
timur 2 1228
lain 9 1236
sh 1 1272
bank 2 1276
yaitu 1 1284
ah 1 1288
buruh 1 1292
juga 3 1296
informasi 7 1308
himpun 2 1336
awal 4 1344
datang 3 1360
punden 1 1372
bancelono 1 1376
guna 7 1380
sikap 1 1408
sopan 1 1412
langsung 10 1416
teriak 1 1456
jaga 3 1460
nama 6 1472
tri 1 1496
andriani 1 1500
lokasi 5 1504
tapa 1 1524
ada 12 1528
tidak 6 1576
usai 2 1600
den 1 1608
soan 1 1612
masuk 9 1616
dalam 8 1652
bawa 6 1684
kabur 6 1708
tahu 7 1732
tria 1 1760
andini 1 1764
lapor 7 1768
purharyanto 1 1796
suami 1 1800
kejar 4 1804
maling 1 1820
akhir 6 1824
behasil 1 1848
di 5 1852
blumbang 1 1872
serah 3 1876
polsek 8 1888
kapolres 5 1920
akbp 7 1940
catur 1 1968
gatot 1 1972
efendi 1 1976
lalu 11 1980
kapolsek 2 2024
iptu 2 2032
ismugiyanto 1 2040
hubung 1 2044
jumat 5 2048
benar 3 2068
jadi 17 2080
para 3 2148
polres 7 2160
kita 3 2188
tangan 4 2200
lebih 4 2216
lanjut 8 2232
kata 19 2264
wardoyo 1 2340
nekat 2 2344
residivis 2 2352
copet 1 2360
hp 1 2364
tonton 1 2368
nonton 1 2372
bola 1 2376
purbalingga 1 2380
jajar 3 2384
inisial 1 2396
pj 1 2400
candiwulan 1 2404
kutasari 1 2408
harus 4 2412
urus 2 2428
aparat 5 2436
polisi 18 2456
pergok 1 2528
telepon 3 2532
genggam 1 2544
kaurbinops 1 2548
satreskrim 1 2552
i 2 2556
made 1 2564
nergo 1 2568
konferensi 2 2572
pers 1 2580
lancar 2 2584
lapang 2 2592
karangjengkol 1 2600
sedang 9 2604
tanding 2 2640
sepakbola 1 2648
sabtu 5 2652
sore 2 2672
sangka 6 2680
merk 1 2704
advance 1 2708
saku 1 2712
jaket 1 2716
milik 8 2720
turinah 1 2752
tempat 11 2756
korban 9 2800
rasa 3 2836
ponselnya 1 2848
hilang 4 2852
cerita 1 2868
aku 8 2872
lihat 5 2904
ambil 3 2924
ponsel 1 2936
 2 2940
cari 4 2948
nyata 5 2964
jalan 8 2984
ucap 1 3016
lansir 1 3020
tribratanews 1 3024
polda 6 3028
jateng 1 3052
sempat 5 3056
dapat 6 3076
bogem 1 3100
mentah 1 3104
jumlah 6 3108
kesal 1 3132
buat 6 3136
halhal 1 3160
ingin 1 3164
jerat 2 3168
pasal 2 3176
kuhp 2 3184
biasa 3 3192
dengan 2 3204
ancam 2 3212
hukum 8 3220
maksimal 2 3252
lima 3 3260
tahun 8 3272
penjara 1 3304
jelas 3 3308
dasar 6 3320
terang 4 3344
pernah 3 3360
banyak 8 3372
kali 4 3404
atas 6 3420
kasus 6 3444
keroyok 2 3468
kambing 1 3476
enam 2 3480
bulan 3 3488
sembilan 1 3500
jsnews 1 3504
bas 1 3508
pemuda 2 3512
ustaz 1 3520
kriminal 9 3524
murni 3 3560
muka 1 3572
agama 1 3576
islam 3 3580
abdul 2 3592
basit 1 3600
depan 4 3604
rumah 7 3620
syahdan 1 3648
palmerah 1 3652
jakarta 5 3656
barat 6 3676
ahad 2 3700
dini 3 3708
hari 6 3720
akibat 4 3744
alami 4 3760
lukaluka 1 3776
kiri 3 3780
baco 2 3792
celurit 2 3800
pakai 1 3808
serang 1 3812
metro 4 3816
kombes 2 3832
pol 3 3840
hengki 1 3852
haryadi 1 3856
rupa 6 3860
remaja 2 3884
peran 4 3892
usia 3 3908
ini 6 3920
bersamasama 1 3944
tokoh 1 3948
kemarin 1 3952
ujar 6 3956
minta 6 3980
jangan 1 4004
kembang 1 4008
arah 4 4012
isu 1 4028
beda 1 4032
marak 2 4036
ulama 1 4044
gereja 1 4048
serta 2 4052
jemaat 1 4060
tegur 1 4064
kelompok 4 4068
sering 3 4084
kongkow 1 4096
kencing 1 4100
sembarang 1 4104
dua 8 4108
pekan 2 4140
saat 4 4148
pulang 3 4164
justru 1 4176
malah 1 4180
itu 9 4184
lari 7 4220
pihak 5 4248
tim 2 4268
khusus 2 4276
sisa 1 4284
masih 5 4288
sidi 1 4308
tenggara 1 4312
ribut 1 4316
buang 1 4320
air 2 4324
kecil 1 4332
berat 1 4336
perilaku 1 4340
kerap 3 4344
mereka 3 4356
ketua 1 4368
mui 1 4372
kh 1 4376
munahar 1 4380
muchtar 1 4384
menghimbau 1 4388
masyarakat 5 4392
tenang 1 4412
sebar 1 4416
palsu 1 4420
sudah 4 4424
kece 1 4440
pasti 2 4444
gerak 1 4452
cepat 3 4456
percaya 1 4468
sama 3 4472
dia 2 4484
anggota 9 4492
bacok 2 4528
republikacoid 17 4536
bangkal 1 4604
luka 3 4608
banyior 1 4620
puluh 2 4624
derita 1 4632
parah 1 4636
sakit 4 4640
phc 1 4656
surabaya 1 4660
awat 1 4664
rumat 1 4668
umum 4 4672
daerah 3 4688
syarifah 1 4700
ambami 1 4704
rato 1 4708
ebuh 1 4712
tadi 1 4716
pukul 6 4720
wib 5 4744
ajun 3 4764
komisaris 4 4776
anissullah 1 4792
m 2 4796
ridho 1 4804
malam 2 4808
bripka 3 4816
zainal 1 4828
kaki 2 4832
kanan 2 4840
misbah 1 4848
ala 1 4852
bagi 5 4856
brigadir 3 4876
fauzi 1 4888
tusuk 1 4892
punggung 1 4896
belah 3 4900
rs 1 4912
ripandi 1 4916
asal 5 4920
babus 1 4940
salam 1 4944
mapolsek 2 4948
dusun 1 4956
