Indexed from docIDs:1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
pencuri 3 0
tertangkap 4 12
basah 1 28
curi 2 32
kepala 8 40
arca 1 72
sendang 1 76
bancolono 1 80
karanganyar 1 84
joglosemarnews.com 2 88
-- 17 96
komplotan 3 164
massa 2 176
saat 18 184
hendak 3 256
mencuri 5 268
di 20 288
desa 6 368
gondosuli 1 392
kecamatan 6 396
tawangmangu 1 420
jawa 6 424
tengah 3 448
pada 12 460
kami 8 508
22/8/2019 2 540
pelaku 17 548
yang 20 616
terdiri 2 696
dari 17 704
orang 9 772
tersebut 14 808
kemudian 8 864
diamankan 3 896
mapolr 3 908
tiga 10 920
dibekuk 1 960
berikut 1 964
barang 6 968
bukti 5 992
berupa 4 1012
patung 1 1028
sebuah 5 1032
palu 1 1052
besar 4 1056
slempang 1 1072
warna 2 1076
hitam 2 1084
bergari 1 1092
serta 6 1096
satu 7 1120
unit 3 1148
mobil 4 1160
jeni 5 1176
honda 1 1196
merah 1 1200
nopol 2 1204
ae 1 1212
bx 1 1216
aksi 10 1220
pencurian 9 1260
berhasil 5 1296
warga 11 1316
masing-mas 5 1360
ab 1 1380
magetan 1 1384
bekerja 2 1388
sebagai 7 1396
petuga 12 1424
keamanan 2 1472
satpam 1 1480
salah 9 1484
perusahaan 1 1520
tambang 1 1524
batu 1 1528
bara 1 1532
kalimantan 1 1536
timur 2 1540
lainnya 7 1548
yakni 3 1576
sh 1 1588
bank 2 1592
lagi 4 1600
yaitu 1 1616
ah 1 1620
seorang 12 1624
buruh 1 1672
juga 11 1676
informasi 7 1720
dihimpun 2 1748
beraw 3 1756
ketika 4 1768
para 9 1784
mendatangi 1 1820
punden 1 1824
bancelono 1 1828
dengan 14 1832
menggunakan 6 1888
sikap 1 1912
tidak 9 1916
sopan 1 1952
ketiganya 1 1956
langsung 8 1960
berteriak 1 1992
kepada 7 1996
penjaga 1 2024
bernama 4 2028
tri 1 2044
andriani 1 2048
mereka 7 2052
apakah 2 2080
lokasi 5 2088
pertapaan 1 2108
ini 12 2112
ada 10 2160
atau 6 2200
usai 2 2224
den 1 2232
berlaku 1 2236
soan 1 2240
ketiga 3 2244
masuk 9 2256
ke 14 2292
dalam 15 2348
dan 18 2408
membawa 4 2480
kabur 6 2496
mengetahui 3 2520
tria 1 2532
andini 1 2536
melaporkannya 2 2540
purharyanto 1 2548
suaminya 1 2552
melakukan 13 2556
pengejaran 2 2608
sambil 2 2616
male 1 2624
akhirnya 3 2628
behasil 1 2640
ditangkap 4 2644
blumbang 1 2660
diserahkan 2 2664
polsek 8 2672
kapolr 5 2704
akbp 7 2724
catur 1 2752
gatot 1 2756
efendi 1 2760
melalui 3 2764
kapolsek 2 2776
iptu 2 2784
ismugiyanto 1 2792
dihubungi 1 2796
jumat 5 2800
23/08/2019 1 2820
membenarkan 2 2824
terjadinya 2 2832
menurut 4 2840
telah 11 2856
polr 7 2900
`` 17 2928
sudah 8 2996
kita 3 3028
serahkan 1 3040
untuk 13 3044
penanganan 1 3096
lebih 4 3100
lanjut 4 3116
kata 14 3132
wardoyo 1 3188
nekat 2 3192
residivi 2 3200
copet 1 3208
hp 1 3212
penonton 1 3216
nonton 1 3220
bola 1 3224
purbalingga 1 3228
jajaran 3 3232
mengamankan 3 3244
berinisi 1 3256
pj 1 3260
candiwulan 1 3264
kutasari 1 3268
dia 9 3272
haru 6 3308
berurusan 1 3332
kembali 3 3336
aparat 5 3348
kepolisian 6 3368
karena 8 3392
kepergok 1 3424
telepon 3 3428
genggam 1 3440
kaurbinop 1 3444
satreskrim 1 3448
made 1 3452
nergo 1 3456
konferensi 2 3460
per 1 3468
mengatakan 10 3472
melancarkan 2 3512
lapangan 2 3520
karangjengkol 1 3528
sedang 9 3532
berlangsung 3 3568
pertandingan 1 3580
sepakbola 1 3584
sabtu 5 3588
17/8/2109 1 3608
sore 2 3612
tersangka 6 3620
merk 1 3644
advanc 1 3648
saku 1 3652
jaket 1 3656
milik 2 3660
turinah 1 3668
setempat 4 3672
korban 9 3688
merasa 1 3724
ponselnya 1 3728
hilang 2 3732
lalu 8 3740
bercerita 1 3772
mengaku 8 3776
melihat 4 3808
mengambil 3 3824
ponsel 1 3836
mencari 3 3840
ternyata 4 3852
masih 8 3868
jalan 4 3900
sekitar 11 3916
mengejar 2 3960
menangkap 7 3968
melaporkan 1 3996
kejadian 10 4000
ucapnya 1 4040
dilansir 1 4044
tribratanew 1 4048
polda 6 4052
jateng 1 4076
sempat 3 4080
mendapat 2 4092
bogem 1 4100
mentah 1 4104
sejumlah 4 4108
kesal 1 4124
akan 5 4128
perbuatan 3 4148
polisi 16 4160
datang 2 4224
sehingga 6 4232
terjadi 10 4256
hal-hal 1 4296
diinginkan 1 4300
dijerat 2 4304
pasal 2 4312
kuhp 2 4320
tentang 2 4328
biasa 3 4336
ancaman 2 4348
hukuman 2 4356
maksim 2 4364
lima 3 4372
tahun 8 4384
penjara 1 4416
jelasnya 2 4420
berdasarkan 6 4428
keterangan 3 4452
ia 9 4464
pernah 3 4500
dipenjara 1 4512
sebanyak 5 4516
kali 4 4536
ata 6 4552
kasu 6 4576
pengeroyokan 2 4600
kamb 1 4608
dua 12 4612
dihukum 1 4660
enam 2 4664
bulan 3 4672
sedangkan 5 4684
terakhir 3 4704
sembilan 1 4716
jsnew 1 4720
belasan 1 4724
pemuda 2 4728
keroyok 1 4736
ustaz 1 4740
krimin 9 4744
murni 3 4780
pemuka 1 4792
agama 1 4796
islam 3 4800
abdul 2 4812
basit 1 4820
dikeroyok 1 4824
depan 4 4828
rumahnya 4 4844
syahdan 1 4860
palmerah 1 4864
jakarta 5 4868
barat 6 4888
ahad 2 4912
11/2 1 4920
dini 3 4924
hari 6 4936
akibat 4 4960
itu 15 4976
mengalami 4 5036
luka-luka 1 5052
tangan 3 5056
kirinya 2 5068
bacokan 2 5076
celurit 2 5084
dipakai 1 5092
penyerangnya 1 5096
metro 4 5100
komb 2 5116
pol 3 5124
hengki 1 5136
haryadi 1 5140
merupakan 6 5144
dilakukan 3 5168
oleh 8 5180
remaja 2 5212
mendalami 2 5220
peran 2 5228
berusia 3 5236
bersama-sama 1 5248
tokoh 1 5252
kemarin 1 5256
ujar 5 5260
meminta 4 5280
agar 3 5296
jangan 1 5308
sampai 1 5312
berkembang 1 5316
arah 3 5320
isu 1 5332
berbeda 1 5336
apalagi 1 5340
marak 1 5344
penyerangan 1 5348
terhadap 4 5352
ulama 1 5368
gereja 1 5372
beserta 1 5376
jemaatnya 1 5380
menegur 1 5384
sekelompok 1 5388
sere 3 5392
kongkow 1 5404
kenc 1 5408
sembarangan 1 5412
teguran 1 5416
lakukan 3 5420
pekan 2 5432
kelompok 3 5440
pulang 3 5452
rumah 7 5464
namun 5 5492
justru 1 5512
malah 1 5516
setelah 10 5520
pengeroyok 1 5560
melarikan 5 5564
diri 7 5584
pihaknya 1 5612
membuat 2 5616
tim 2 5624
khusu 2 5632
penangkapan 2 5640
sisanya 1 5648
perlakuan 1 5652
penyidikan 1 5656
ditenggarai 1 5660
keributan 1 5664
buang 1 5668
air 2 5672
kecil 1 5680
banyak 3 5684
keberatan 1 5696
perilaku 1 5700
kerap 3 5704
ketua 1 5716
mui 1 5720
kh 1 5724
munahar 1 5728
muchtar 1 5732
menghimbau 1 5736
masyarakat 4 5740
tenang 1 5756
menyebarkan 1 5760
palsu 1 5764
pengecekan 1 5768
memastikan 2 5772
bahwa 4 5780
bergerak 1 5796
cepat 2 5800
percayakan 1 5808
sama 1 5812
anggota 9 5816
dibacok 2 5852
republika.co.id 17 5860
bangkalan 1 5928
luka 2 5932
bacok 2 5940
banyior 1 5948
sepuluh 1 5952
17/12 1 5956
antara 4 5960
menderita 1 5976
parah 1 5980
dilarikan 2 5984
sakit 4 5992
phc 1 6008
surabaya 1 6012
menjalani 2 6016
perawatan 1 6024
rumat 1 6028
umum 4 6032
daerah 3 6048
syarifah 1 6060
ambami 1 6064
rato 1 6068
ebuh 1 6072
kejadiannya 1 6076
tadi 1 6080
pukul 6 6084
wib 5 6108
ajun 3 6128
komisari 4 6140
anissullah 1 6156
ridho 1 6160
malam 2 6164
bripka 3 6172
zainal 1 6184
kaki 1 6188
kanan 2 6192
misbah 1 6200
mengalamu 1 6204
bagian 4 6208
brigadir 3 6224
fauzi 1 6236
tusuk 1 6240
punggung 1 6244
sebelah 3 6248
rs 1 6260
terang 1 6264
menjelaskan 2 6268
anggotanya 1 6276
terluka 1 6280
bertuga 1 6284
ripandi 1 6288
asal 4 6292
dilaporkan 2 6308
babu 1 6316
salam 1 6320
mapolsek 2 6324
membacok 1 6332
dusun 1 6336
bungkek 1 6340
siti 1 6344
selanjutnya 3 6348
menerjunkan 1 6360
empat 3 6364
terlapor 1 6376
melawan 2 6380
kala 1 6388
personel 1 6392
memilih 1 6396
mundur 1 6400
bantuan 2 6404
berselang 1 6412
lama 3 6416
pasukan 1 6428
tiba 2 6432
tempat 7 6440
perkara 2 6468
memang 4 6476
memegang 2 6492
sebilah 1 6500
perlawan 1 6504
berupaya 3 6508
mendekati 1 6520
dirinya 3 6524
tembakan 1 6536
peringatan 1 6540
udara 1 6544
tetap 3 6548
diindahkan 1 6560
perintah 1 6564
menyerahkan 1 6568
meletakkan 1 6572
senjata 5 6576
diabaikan 1 6596
tutur 1 6600
mengindahkan 1 6604
melumpuhkan 2 6608
timah 1 6616
pana 2 6620
langgar 1 6628
bertahan 1 6632
sehat 1 6636
perkelahian 1 6640
si 1 6644
celuritnya 1 6648
jatuh 2 6652
membacokkan 1 6660
permintaan 1 6664
maaf 1 6668
ditolak 1 6672
tetangga 1 6676
hingga 7 6680
tewa 2 6708
labuhanbatu 1 6716
utara 4 6720
nyawa 2 6736
erwin 1 6744
syahputra 1 6748
sumut 1 6752
berakhir 1 6756
tetangganya 1 6760
andika 1 6764
sopiyan 1 6768
sementara 3 6772
istrinya 1 6784
suarwati 1 6788
kriti 1 6792
dialaminya 1 6796
kabid 3 6800
huma 3 6812
rina 1 6824
sari 1 6828
gint 1 6832
motif 2 6836
penganiayaan 1 6844
adalah 2 6848
rasa 2 6856
hati 1 6864
diterima 1 6868
mengintip 1 6872
istri 1 6876
korban‎ 1 6880
17/6 1 6884
kasubag 1 6888
‎huma 1 6892
akp 2 6896
viktor 1 6904
sibarani 1 6908
perkebunan 1 6912
pondok 1 6916
